Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Warengruppe,Umsatz,Feiertage,Ferientage,Niederschlag,imp_mask_Bewoelkung,imp_mask_Temperatur,imp_mask_Windgeschwindigkeit,imp_mask_Niederschlag,imp_mask_Wettercode,Wetterklasse,temp_7d_avg,temp_diff_next_day,warmer_than_week_before,colder_than_week_before
2013-07-01,6.0,17.8375,15.0,20.0,0.0,1.0,148.828353112183,0.0,1.0,0.3,0,0,0,0,0,6,18.762499999999996,-0.9249999999999972,0.0,0.9249999999999972
2013-07-01,6.0,17.8375,15.0,20.0,0.0,2.0,535.856284785361,0.0,1.0,0.3,0,0,0,0,0,6,18.762499999999996,-0.9249999999999972,0.0,0.9249999999999972
2013-07-01,6.0,17.8375,15.0,20.0,0.0,3.0,201.198425690037,0.0,1.0,0.3,0,0,0,0,0,6,18.762499999999996,-0.9249999999999972,0.0,0.9249999999999972
2013-07-01,6.0,17.8375,15.0,20.0,0.0,4.0,65.890168799361,0.0,1.0,0.3,0,0,0,0,0,6,18.762499999999996,-0.9249999999999972,0.0,0.9249999999999972
2013-07-01,6.0,17.8375,15.0,20.0,0.0,5.0,317.475874933038,0.0,1.0,0.3,0,0,0,0,0,6,18.762499999999996,2.3125000000000036,2.3125000000000036,0.0
2013-07-03,7.0,21.075,6.0,61.0,0.0,1.0,111.885593514353,0.0,1.0,10.2,0,0,0,0,0,6,18.762499999999996,2.3125000000000036,2.3125000000000036,0.0
2013-07-03,7.0,21.075,6.0,61.0,0.0,2.0,427.343258749983,0.0,1.0,10.2,0,0,0,0,0,6,18.762499999999996,2.3125000000000036,2.3125000000000036,0.0
2013-07-03,7.0,21.075,6.0,61.0,0.0,3.0,210.260241465493,0.0,1.0,10.2,0,0,0,0,0,6,19.224999999999998,1.8500000000000014,1.8500000000000014,0.0
2013-07-03,7.0,21.075,6.0,61.0,0.0,4.0,69.2627280649987,0.0,1.0,10.2,0,0,0,0,0,6,19.6875,1.3874999999999993,1.3874999999999993,0.0
2013-07-03,7.0,21.075,6.0,61.0,0.0,5.0,305.523072325318,0.0,1.0,10.2,0,0,0,0,0,6,20.15,-1.2999999999999972,0.0,1.2999999999999972
2013-07-04,7.0,18.85,7.0,20.0,0.0,1.0,168.864940979931,0.0,1.0,0.0,0,0,0,0,0,6,20.294642857142858,-1.4446428571428562,0.0,1.4446428571428562
2013-07-04,7.0,18.85,7.0,20.0,0.0,2.0,454.859641347987,0.0,1.0,0.0,0,0,0,0,0,6,20.439285714285713,-1.5892857142857117,0.0,1.5892857142857117
2013-07-04,7.0,18.85,7.0,20.0,0.0,3.0,190.686641378586,0.0,1.0,0.0,0,0,0,0,0,6,20.12142857142857,-1.2714285714285687,0.0,1.2714285714285687
2013-07-04,7.0,18.85,7.0,20.0,0.0,4.0,61.490175369225,0.0,1.0,0.0,0,0,0,0,0,6,19.803571428571427,-0.9535714285714256,0.0,0.9535714285714256
2013-07-04,7.0,18.85,7.0,20.0,0.0,5.0,308.408167942149,0.0,1.0,0.0,0,0,0,0,0,6,19.485714285714288,3.239285714285714,3.239285714285714,0.0
2013-07-08,0.0,22.725,10.0,5.0,0.0,1.0,135.500244042392,0.0,1.0,0.0,0,0,0,0,0,2,19.72142857142857,3.00357142857143,3.00357142857143,0.0
2013-07-08,0.0,22.725,10.0,5.0,0.0,2.0,538.529249911711,0.0,1.0,0.0,0,0,0,0,0,2,19.95714285714286,2.7678571428571423,2.7678571428571423,0.0
2013-07-08,0.0,22.725,10.0,5.0,0.0,3.0,195.158794309303,0.0,1.0,0.0,0,0,0,0,0,2,20.51071428571429,2.2142857142857117,2.2142857142857117,0.0
2013-07-08,0.0,22.725,10.0,5.0,0.0,4.0,49.5000238633042,0.0,1.0,0.0,0,0,0,0,0,2,21.064285714285717,1.6607142857142847,1.6607142857142847,0.0
2013-07-08,0.0,22.725,10.0,5.0,0.0,5.0,285.233382496522,0.0,1.0,0.0,0,0,0,0,0,2,21.617857142857144,-1.9303571428571438,0.0,1.9303571428571438
2013-07-10,2.0,19.6875,13.0,5.0,0.0,1.0,135.132314289581,0.0,1.0,0.0,0,0,0,0,0,2,21.7375,-2.0500000000000007,0.0,2.0500000000000007
2013-07-10,2.0,19.6875,13.0,5.0,0.0,2.0,567.365764527953,0.0,1.0,0.0,0,0,0,0,0,2,21.857142857142858,-2.1696428571428577,0.0,2.1696428571428577
2013-07-10,2.0,19.6875,13.0,5.0,0.0,3.0,265.109142544045,0.0,1.0,0.0,0,0,0,0,0,2,21.423214285714288,-1.7357142857142875,0.0,1.7357142857142875
2013-07-10,2.0,19.6875,13.0,5.0,0.0,4.0,73.8056511129258,0.0,1.0,0.0,0,0,0,0,0,2,20.989285714285717,-1.3017857142857174,0.0,1.3017857142857174
