Datum,Umsatz-Total,Warengruppe-Total
2013-07-01,1269.24910731998,5
2013-07-02,1430.0083973267333,5
2013-07-03,1124.2748941201457,5
2013-07-04,1184.3095670178782,5
2013-07-05,1288.0230602120182,5
2013-07-06,1540.5298975581647,5
2013-07-07,1532.3729274131556,5
2013-07-08,1203.9216946232323,5
2013-07-09,1385.1123293468459,5
2013-07-10,1384.7659389826279,5
2013-07-11,1326.8616313035402,5
2013-07-12,1354.717013539311,4
2013-07-13,1661.8613816349975,5
2013-07-14,1786.553765281086,5
2013-07-15,1481.963405858342,5
2013-07-16,1375.2489950082643,5
2013-07-17,1477.670323685468,4
2013-07-18,1389.7541924313455,5
2013-07-19,1527.0763604307554,5
2013-07-20,1788.2360322693241,5
2013-07-21,1599.0157338099675,5
2013-07-22,1532.438770398039,5
2013-07-23,1511.4861602726614,5
2013-07-24,1579.1769061206978,5
2013-07-25,1498.84454154252,5
2013-07-26,1602.303163851975,5
2013-07-27,1758.881047587065,4
2013-07-28,1755.8025904192964,4
2013-07-29,1581.050773432065,4
2013-07-30,1600.8473293204288,4
2013-07-31,1560.649380745598,4
2013-08-01,1512.7538168934125,5
2013-08-02,1537.074863033557,5
2013-08-03,2022.0929783769382,5
2013-08-04,1879.1788638421608,5
2013-08-05,1353.5850885584,4
2013-08-06,1486.208899835055,5
2013-08-07,1528.2338963920583,5
2013-08-08,1499.007507138282,5
2013-08-09,1525.3931909835096,5
2013-08-10,1662.2804720349804,5
2013-08-11,1725.3536746947912,5
2013-08-12,1371.9141698482772,5
2013-08-13,1399.566054030156,5
2013-08-14,1533.033368518948,5
2013-08-15,1445.936606987924,5
2013-08-16,1361.4457786798198,5
2013-08-17,1701.8221409441326,5
2013-08-18,1673.897714730906,5
2013-08-19,1376.837922891106,5
2013-08-20,1252.7861094515642,5
2013-08-21,1255.9019374005727,5
2013-08-22,1314.464436931448,5
2013-08-23,1397.1021019374625,5
2013-08-24,1852.823512770426,5
2013-08-25,1806.35854658638,5
