Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Warengruppe,Umsatz
2013-07-02,3.0,17.3125,10.0,,0.0,1.0,159.79375714468
2013-07-02,3.0,17.3125,10.0,,0.0,2.0,546.780787392297
2013-07-02,3.0,17.3125,10.0,,0.0,3.0,265.261253994438
2013-07-02,3.0,17.3125,10.0,,0.0,4.0,74.5439171827412
2013-07-02,3.0,17.3125,10.0,,0.0,5.0,383.628681612577
2013-07-05,5.0,19.975,12.0,,0.0,1.0,171.280754117955
2013-07-05,5.0,19.975,12.0,,0.0,2.0,492.818804066088
2013-07-05,5.0,19.975,12.0,,0.0,3.0,181.644870215041
2013-07-05,5.0,19.975,12.0,,0.0,4.0,86.7598614451924
2013-07-05,5.0,19.975,12.0,,0.0,5.0,355.518770367742
2013-07-06,0.0,18.9625,8.0,,0.0,1.0,174.552359998476
2013-07-06,0.0,18.9625,8.0,,0.0,2.0,631.906068038484
2013-07-06,0.0,18.9625,8.0,,0.0,3.0,291.557959835153
2013-07-06,0.0,18.9625,8.0,,0.0,4.0,80.6465768881107
2013-07-06,0.0,18.9625,8.0,,0.0,5.0,361.866932797941
2013-07-07,0.0,21.375,9.0,,0.0,1.0,92.6377553788373
2013-07-07,0.0,21.375,9.0,,0.0,2.0,695.25572963054
2013-07-07,0.0,21.375,9.0,,0.0,3.0,279.665938833443
2013-07-07,0.0,21.375,9.0,,0.0,4.0,94.6039024817053
2013-07-07,0.0,21.375,9.0,,0.0,5.0,370.20960108863
2013-07-09,0.0,23.275,8.0,,0.0,1.0,136.048382778344
2013-07-09,0.0,23.275,8.0,,0.0,2.0,585.957264698849
2013-07-09,0.0,23.275,8.0,,0.0,3.0,245.808338509722
2013-07-09,0.0,23.275,8.0,,0.0,4.0,75.2089975834558
2013-07-09,0.0,23.275,8.0,,0.0,5.0,342.089345776475
2013-07-12,0.0,20.2875,7.0,,0.0,1.0,101.447511461298
2013-07-12,0.0,20.2875,7.0,,0.0,2.0,600.267914678783
2013-07-12,0.0,20.2875,7.0,,0.0,3.0,290.199097765019
2013-07-12,0.0,20.2875,7.0,,0.0,5.0,362.802489634211
2013-07-13,1.0,20.125,12.0,,0.0,1.0,141.233309883732
2013-07-13,1.0,20.125,12.0,,0.0,2.0,747.140776382576
2013-07-13,1.0,20.125,12.0,,0.0,3.0,340.046632736531
2013-07-13,1.0,20.125,12.0,,0.0,4.0,74.2744737887665
2013-07-13,1.0,20.125,12.0,,0.0,5.0,359.166188843392
2013-07-15,6.0,18.7375,12.0,,0.0,1.0,161.264677322182
2013-07-15,6.0,18.7375,12.0,,0.0,2.0,596.995099998235
2013-07-15,6.0,18.7375,12.0,,0.0,3.0,243.526401440661
2013-07-15,6.0,18.7375,12.0,,0.0,4.0,99.4935305857439
2013-07-15,6.0,18.7375,12.0,,0.0,5.0,380.68369651152
2013-07-16,1.0,21.1875,10.0,,0.0,1.0,116.821358174215
2013-07-16,1.0,21.1875,10.0,,0.0,2.0,558.797138274201
2013-07-16,1.0,21.1875,10.0,,0.0,3.0,287.415464972525
2013-07-16,1.0,21.1875,10.0,,0.0,4.0,91.7796976081033
2013-07-16,1.0,21.1875,10.0,,0.0,5.0,320.43533597922
2013-07-17,5.0,22.5125,8.0,,0.0,1.0,150.572919592838
2013-07-17,5.0,22.5125,8.0,,0.0,2.0,628.325718978073
2013-07-17,5.0,22.5125,8.0,,0.0,3.0,301.777437970497
2013-07-17,5.0,22.5125,8.0,,0.0,5.0,396.99424714406
2013-07-20,0.0,23.1875,8.0,,0.0,1.0,134.328076682024
2013-07-20,0.0,23.1875,8.0,,0.0,2.0,843.051280035386
2013-07-20,0.0,23.1875,8.0,,0.0,3.0,394.765674710477
2013-07-20,0.0,23.1875,8.0,,0.0,4.0,69.9369965472912
2013-07-20,0.0,23.1875,8.0,,0.0,5.0,346.154004294146
2013-07-21,0.0,26.375,8.0,,0.0,1.0,66.2887578161955
2013-07-21,0.0,26.375,8.0,,0.0,2.0,815.942264195776
2013-07-21,0.0,26.375,8.0,,0.0,3.0,346.658236387984
2013-07-21,0.0,26.375,8.0,,0.0,4.0,82.6826868784511
2013-07-21,0.0,26.375,8.0,,0.0,5.0,287.443788531561
2013-07-22,0.0,26.1,9.0,,0.0,1.0,131.223948997842
2013-07-22,0.0,26.1,9.0,,0.0,2.0,647.682748973215
2013-07-22,0.0,26.1,9.0,,0.0,3.0,297.712614415266
2013-07-22,0.0,26.1,9.0,,0.0,4.0,99.3353908053911
2013-07-22,0.0,26.1,9.0,,0.0,5.0,356.484067206325
2013-07-23,0.0,24.95,12.0,,0.0,1.0,110.315246796665
2013-07-23,0.0,24.95,12.0,,0.0,2.0,691.043662205889
2013-07-23,0.0,24.95,12.0,,0.0,3.0,323.301431663341
2013-07-23,0.0,24.95,12.0,,0.0,4.0,70.5290024618065
2013-07-23,0.0,24.95,12.0,,0.0,5.0,316.29681714496
2013-07-24,3.0,24.075,11.0,,0.0,1.0,141.891908195545
2013-07-24,3.0,24.075,11.0,,0.0,2.0,698.340862077002
2013-07-24,3.0,24.075,11.0,,0.0,3.0,328.023102507764
