Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Warengruppe,Umsatz
2014-06-21,6.0,15.5125,18,61.0,1,5,398.075088856397
2014-06-22,5.0,15.7,19,,1,5,399.756375802425
2014-06-23,4.0,16.5,17,,1,5,331.768630064753
2014-06-24,7.0,14.3625,7,21.0,1,5,293.582453806941
2014-06-25,0.0,18.4375,10,,1,5,359.294724220182
2014-06-26,6.0,17.575,8,63.0,1,5,379.567358758783
2014-06-27,4.0,20.1625,7,95.0,1,5,371.32461993901
2014-06-28,6.0,16.9625,6,95.0,1,5,498.133552158124
2014-06-29,7.0,17.3125,8,61.0,1,5,316.483478198112
2015-06-20,5.0,17.125,13,,1,5,280.186941692026
2015-06-21,6.0,15.75,6,,1,5,235.514638799317
2015-06-22,5.0,13.5,8,61.0,1,5,254.862522218275
2015-06-23,5.0,16.5,10,21.0,1,5,270.726957416684
2015-06-24,8.0,12.625,14,61.0,1,5,300.990362700812
2015-06-25,6.0,17.125,8,21.0,1,5,271.335895693763
2015-06-26,7.0,19.25,5,61.0,1,5,304.239937730854
2015-06-27,7.0,19.375,16,61.0,1,5,428.433111120672
2015-06-28,2.0,19.875,10,,1,5,309.491842337963
2016-06-18,6.0,18.0,12,21.0,1,5,297.196176882937
2016-06-19,7.0,16.0,14,,1,5,258.683021783885
2016-06-20,4.0,20.875,10,61.0,1,5,261.929083791593
2016-06-21,4.0,19.875,9,,1,5,250.953444723129
2016-06-22,5.0,22.125,9,61.0,1,5,245.204941108968
2016-06-23,5.0,27.875,8,,1,5,231.264672708937
2016-06-24,5.0,24.125,9,,1,5,241.758175059788
2016-06-25,7.0,18.25,14,95.0,1,5,402.98066537422
2016-06-26,5.0,19.25,11,0.0,1,5,265.456146687391
2017-06-17,0.0,20.125,15,0.0,1,5,352.506179682214
2017-06-18,2.0,24.25,9,,1,5,216.356703017971
2017-06-19,1.0,25.375,7,0.0,1,5,266.040845002576
2017-06-20,0.0,20.75,12,0.0,1,5,239.596188002166
2017-06-21,3.0,18.75,10,,1,5,232.925986116455
2017-06-22,3.0,20.25,10,95.0,1,5,231.444516999084
2017-06-23,7.0,17.25,14,61.0,1,5,335.567446461642
2017-06-24,6.0,17.875,19,61.0,1,5,448.004437068748
2017-06-25,7.0,17.25,16,20.0,1,5,305.520160355371
2018-06-16,5.0,21.325,7,95.0,1,5,209.362082944004
2018-06-17,5.0,18.275,12,61.0,1,5,351.208968634828
2018-06-18,7.0,17.6375,9,61.0,1,5,368.908774188599
2018-06-19,3.0,19.2375,16,21.0,1,5,271.817641139495
2018-06-20,3.0,23.65,13,0.0,1,5,329.991266466933
2018-06-21,7.0,11.5625,15,65.0,1,5,301.074413373322
2018-06-22,5.0,15.575,20,61.0,1,5,349.50958339019
2018-06-23,7.0,14.3,18,61.0,1,5,662.369320660577
2018-06-24,6.0,16.2375,10,21.0,1,5,275.941582346904
